#,Atividade,Previsão Início,Previsão Término
01,Enviar proposta de trabalho via EasyChair,05/10/2015,05/10/2015
02,"Desenvolver um estudo preliminar com o objetivo de avaliar as questões de pesquisas, sentenças de busca, critérios de inclusão e exclusão",06/10/2015,09/10/2015
03,Desenvolver o Protocolo da Revisão,12/10/2015,15/10/2015
04,Revisar o Protocolo com o orientador,16/10/2015,17/10/2015
05,Aplicar correções sugeridas pelo orientador,19/10/2015,20/10/2015
06,Revisar o Protocolo com o orientador,21/10/2015,23/10/2015
07,Coletar estudos primários,26/10/2015,30/10/2015
08,Selecionar estudos primários,02/11/2015,13/11/2015
09,Avaliar a qualidade dos estudos primários,16/11/2015,18/11/2015
10,Extrair dados do estudos primários,19/11/2015,24/11/2015
11,Escrever Relatório Final,25/11/2015,30/11/2015
12,Revisar Relatório Final,01/12/2015,03/12/2015
13,Enviar Relatório Final via EasyChair,04/12/2015,04/12/2015
14,Revisar os outros trabalhos do Workshop,07/12/2015,11/12/2015
15,Apresentar o Relatório Final no Workshop,14/12/2015,16/12/2015
